date,priority,Day,year,month,autoflush,manualflush,intervension,totalflush,failedflush
23-03-2023,low,Thursday,2023,Mar,12310,236,138,12546,30
14-12-2022,low,Wednesday,2022,Dec,18262,202,135,18464,18
29-06-2023,low,Thursday,2023,Jun,10281,241,121,10522,32
18-11-2023,low,Saturday,2023,Nov,14231,273,125,14504,16
29-03-2024,low,Friday,2024,Mar,18259,264,135,18523,23
10-07-2023,low,Monday,2023,Jul,11142,300,139,11442,19
26-02-2024,low,Monday,2024,Feb,13164,290,138,13454,33
01-05-2023,low,Monday,2023,May,13413,206,141,13619,28
29-07-2023,low,Saturday,2023,Jul,11697,241,120,11938,40
28-04-2023,high,Friday,2023,Apr,16832,292,138,17124,18
17-11-2023,high,Friday,2023,Nov,14347,282,123,14629,22
06-05-2023,high,Saturday,2023,May,12616,274,139,12890,26
25-10-2024,high,Friday,2024,Oct,11145,203,146,11348,26
01-05-2024,high,Wednesday,2024,May,19641,222,126,19863,34
20-04-2022,medium,Wednesday,2022,Apr,11494,256,149,11750,36
16-07-2022,medium,Saturday,2022,Jul,18145,200,138,18345,25
07-08-2023,high,Monday,2023,Aug,10991,262,135,11253,30
08-02-2023,high,Wednesday,2023,Feb,18661,202,140,18863,18
09-02-2023,high,Thursday,2023,Feb,16819,231,147,17050,11
22-01-2023,high,Sunday,2023,Jan,11098,289,120,11387,32
30-08-2024,high,Friday,2024,Aug,15959,294,120,16253,36
06-01-2022,medium,Thursday,2022,Jan,16783,248,150,17031,37
19-07-2022,medium,Tuesday,2022,Jul,14659,219,121,14878,38
24-07-2022,medium,Sunday,2022,Jul,14635,241,122,14876,33
29-05-2022,medium,Sunday,2022,May,17711,234,120,17945,29
04-04-2022,high,Monday,2022,Apr,19890,266,130,20156,30
09-09-2024,high,Monday,2024,Sep,16190,226,124,16416,33
24-07-2024,high,Wednesday,2024,Jul,16357,245,129,16602,31
17-12-2023,high,Sunday,2023,Dec,16173,219,120,16392,24
22-11-2022,medium,Tuesday,2022,Nov,11992,263,147,12255,35
07-02-2022,high,Monday,2022,Feb,16730,214,126,16944,39
24-01-2024,high,Wednesday,2024,Jan,14387,299,121,14686,39
12-12-2023,high,Tuesday,2023,Dec,16693,226,140,16919,19
22-11-2022,high,Tuesday,2022,Nov,18193,268,143,18461,15
07-04-2023,low,Friday,2023,Apr,11033,258,136,11291,33
20-09-2024,low,Friday,2024,Sep,17370,248,135,17618,34
03-05-2023,low,Wednesday,2023,May,12078,253,148,12331,37
12-08-2022,low,Friday,2022,Aug,12598,277,149,12875,21
30-10-2022,low,Sunday,2022,Oct,16716,241,120,16957,28
03-06-2022,low,Friday,2022,Jun,18413,286,137,18699,23
31-12-2023,low,Sunday,2023,Dec,19990,238,137,20228,18
05-09-2023,high,Tuesday,2023,Sep,18555,239,145,18794,17
26-01-2023,high,Thursday,2023,Jan,16839,280,139,17119,39
26-02-2024,low,Monday,2024,Feb,13843,232,144,14075,40
12-08-2022,low,Friday,2022,Aug,15214,220,142,15434,17
22-03-2022,low,Tuesday,2022,Mar,16539,255,150,16794,29
05-10-2024,low,Saturday,2024,Oct,13061,252,138,13313,14
21-03-2022,low,Monday,2022,Mar,13947,230,126,14177,37
11-04-2023,high,Tuesday,2023,Apr,17483,241,126,17724,29
07-01-2022,high,Friday,2022,Jan,14430,240,122,14670,32
27-11-2023,high,Monday,2023,Nov,15057,239,145,15296,34
30-01-2022,high,Sunday,2022,Jan,13616,267,133,13883,40
25-05-2024,high,Saturday,2024,May,14702,216,136,14918,21
04-10-2022,low,Tuesday,2022,Oct,15749,290,133,16039,14
14-11-2022,low,Monday,2022,Nov,13834,287,131,14121,36
01-07-2023,low,Saturday,2023,Jul,14205,218,140,14423,14
04-10-2023,low,Wednesday,2023,Oct,13025,294,125,13319,29
15-01-2023,low,Sunday,2023,Jan,13363,276,139,13639,38
18-07-2022,low,Monday,2022,Jul,18264,269,147,18533,34
09-10-2023,low,Monday,2023,Oct,19790,253,128,20043,31
30-01-2023,low,Monday,2023,Jan,19873,234,122,20107,20
27-11-2023,low,Monday,2023,Nov,15896,272,134,16168,19
16-02-2024,low,Friday,2024,Feb,18054,228,120,18282,15
26-04-2024,high,Friday,2024,Apr,19996,244,133,20240,26
07-07-2023,high,Friday,2023,Jul,17844,233,141,18077,33
16-08-2023,high,Wednesday,2023,Aug,15572,286,139,15858,30
24-03-2022,high,Thursday,2022,Mar,10698,289,124,10987,30
07-01-2024,high,Sunday,2024,Jan,17681,225,133,17906,38
30-11-2023,medium,Thursday,2023,Nov,18504,279,147,18783,22
09-03-2023,medium,Thursday,2023,Mar,12546,220,128,12766,40
06-01-2024,high,Saturday,2024,Jan,12269,260,120,12529,13
08-10-2024,high,Tuesday,2024,Oct,13425,238,126,13663,29
04-01-2023,high,Wednesday,2023,Jan,19354,223,132,19577,31
14-06-2024,high,Friday,2024,Jun,15379,241,128,15620,14
22-12-2023,high,Friday,2023,Dec,16310,277,139,16587,32
07-10-2023,medium,Saturday,2023,Oct,14561,241,122,14802,19
25-12-2023,medium,Monday,2023,Dec,11426,282,134,11708,39
10-06-2022,medium,Friday,2022,Jun,14650,275,149,14925,31
13-05-2022,medium,Friday,2022,May,14917,287,149,15204,18
10-03-2022,high,Thursday,2022,Mar,12412,275,127,12687,19
02-12-2022,high,Friday,2022,Dec,10264,219,124,10483,17
07-07-2024,high,Sunday,2024,Jul,11996,276,142,12272,16
16-07-2022,high,Saturday,2022,Jul,15665,229,124,15894,27
02-07-2022,medium,Saturday,2022,Jul,13004,266,147,13270,23
13-05-2022,high,Friday,2022,May,12646,252,148,12898,20
14-06-2024,high,Friday,2024,Jun,19816,295,140,20111,23
10-01-2023,high,Tuesday,2023,Jan,12838,276,135,13114,31
09-05-2023,high,Tuesday,2023,May,11199,215,144,11414,28
22-05-2024,low,Wednesday,2024,May,12133,215,148,12348,37
20-01-2023,low,Friday,2023,Jan,12926,271,146,13197,36
14-06-2023,low,Wednesday,2023,Jun,18233,272,128,18505,40
08-05-2023,low,Monday,2023,May,19678,209,121,19887,27
04-03-2022,low,Friday,2022,Mar,19993,268,144,20261,19
19-07-2024,low,Friday,2024,Jul,15461,255,138,15716,20
27-12-2022,low,Tuesday,2022,Dec,14583,241,138,14824,22
06-12-2022,high,Tuesday,2022,Dec,19022,298,124,19320,32
12-10-2022,high,Wednesday,2022,Oct,16696,268,128,16964,17
23-05-2024,low,Thursday,2024,May,19718,235,132,19953,13
28-04-2023,low,Friday,2023,Apr,15365,253,127,15618,32
17-02-2023,low,Friday,2023,Feb,14044,218,140,14262,40
10-09-2024,low,Tuesday,2024,Sep,12857,232,137,13089,31
25-12-2023,low,Monday,2023,Dec,10680,296,147,10976,37
16-04-2022,high,Saturday,2022,Apr,17293,229,134,17522,39
06-01-2024,high,Saturday,2024,Jan,17934,223,129,18157,35
13-09-2023,high,Wednesday,2023,Sep,14716,260,144,14976,38
31-10-2023,high,Tuesday,2023,Oct,12400,288,150,12688,18
18-02-2022,high,Friday,2022,Feb,19826,295,122,20121,24
17-07-2024,low,Wednesday,2024,Jul,11221,270,125,11491,33
10-07-2023,low,Monday,2023,Jul,14803,210,146,15013,27
06-04-2022,low,Wednesday,2022,Apr,11921,251,139,12172,27
01-09-2024,low,Sunday,2024,Sep,16749,264,126,17013,30
07-03-2022,low,Monday,2022,Mar,16643,211,122,16854,24
21-12-2023,low,Thursday,2023,Dec,19795,294,136,20089,20
26-02-2023,low,Sunday,2023,Feb,14640,243,135,14883,22
13-05-2023,low,Saturday,2023,May,16518,234,128,16752,36
28-05-2024,low,Tuesday,2024,May,12059,267,143,12326,29
16-04-2023,low,Sunday,2023,Apr,18974,247,124,19221,18
22-09-2024,high,Sunday,2024,Sep,19042,240,130,19282,27
14-06-2022,high,Tuesday,2022,Jun,13169,210,138,13379,19
08-01-2023,high,Sunday,2023,Jan,10854,225,131,11079,18
16-06-2023,high,Friday,2023,Jun,16669,221,125,16890,11
10-01-2023,high,Tuesday,2023,Jan,17728,215,143,17943,40
21-07-2024,medium,Sunday,2024,Jul,10021,224,130,10245,15
09-02-2024,medium,Friday,2024,Feb,13899,220,135,14119,30
02-12-2023,high,Saturday,2023,Dec,15177,205,128,15382,35
06-09-2022,high,Tuesday,2022,Sep,12748,277,141,13025,20
20-11-2023,high,Monday,2023,Nov,16520,296,140,16816,25
24-02-2022,high,Thursday,2022,Feb,17686,281,122,17967,15
05-02-2023,high,Sunday,2023,Feb,19300,263,140,19563,38
15-02-2024,medium,Thursday,2024,Feb,10820,282,122,11102,36
27-08-2024,medium,Tuesday,2024,Aug,10257,283,126,10540,24
27-08-2023,medium,Sunday,2023,Aug,18756,241,123,18997,37
13-01-2024,medium,Saturday,2024,Jan,17763,282,124,18045,27
